accX,accY,accZ,gyroX,gyroY,gyroZ
0.009897053241729736,-0.015292584896087646,0.009660184383392334,-0.12436376512050629,-0.12400820106267929,0.004827811382710934
0.015243053436279297,-0.009446382522583008,-0.013459444046020508,0.020648818463087082,-0.13092921674251556,-0.013431087136268616
0.015914440155029297,0.005052000284194946,-0.029268920421600342,0.16763335466384888,-0.13434146344661713,-0.04205036908388138
0.008599340915679932,0.017390847206115723,-0.046733736991882324,0.2694076597690582,-0.14355918765068054,-0.0929790660738945
-0.010666251182556152,0.02630200982093811,-0.07601344585418701,0.28851649165153503,-0.17751483619213104,-0.17543064057826996
-0.04028278589248657,0.015675365924835205,-0.12766700983047485,0.19010522961616516,-0.2528332769870758,-0.2945980429649353
-0.06966489553451538,-0.016756117343902588,-0.20287930965423584,0.027070019394159317,-0.39425086975097656,-0.44787752628326416
-0.09460479021072388,-0.04849362373352051,-0.3125654458999634,-0.07094310224056244,-0.6132298111915588,-0.6095084547996521
-0.11772394180297852,-0.07803991436958313,-0.4402192234992981,-0.042841583490371704,-0.8917191028594971,-0.7737641334533691
-0.14528042078018188,-0.09855681657791138,-0.547756552696228,0.16547247767448425,-1.1727473735809326,-0.9621228575706482
-0.16783255338668823,-0.05411502718925476,-0.6176393628120422,0.5509878993034363,-1.4243983030319214,-1.1335369348526
-0.18534159660339355,0.08155114948749542,-0.6257730722427368,1.0397050380706787,-1.602694034576416,-1.211857557296753
-0.19128942489624023,0.25595957040786743,-0.5954926609992981,1.4884278774261475,-1.7426831722259521,-1.1813210248947144
-0.181307852268219,0.3744843602180481,-0.5240839123725891,1.7111682891845703,-1.9203380346298218,-1.1159406900405884
-0.15319639444351196,0.36112719774246216,-0.4417158365249634,1.6083518266677856,-2.1705470085144043,-1.0764720439910889
-0.11295533180236816,0.20700523257255554,-0.3767439126968384,1.1456660032272339,-2.4783170223236084,-1.102687120437622
-0.08527225255966187,-0.02360212802886963,-0.29340970516204834,0.35563746094703674,-2.784658193588257,-1.2059710025787354
-0.07233810424804688,-0.19403348863124847,-0.22173339128494263,-0.3857061564922333,-3.074129104614258,-1.3081386089324951
-0.04797607660293579,-0.21347157657146454,-0.15652883052825928,-0.9173875451087952,-3.3090498447418213,-1.372712254524231
-0.005148887634277344,-0.13580751419067383,-0.15362000465393066,-1.2491244077682495,-3.4281623363494873,-1.4075828790664673
0.04123210906982422,-0.008235044777393341,-0.20526868104934692,-1.4158662557601929,-3.4713826179504395,-1.3664519786834717
0.08687001466751099,0.07681027799844742,-0.2635676860809326,-1.6041733026504517,-3.4837453365325928,-1.209515929222107
